Date,Open,High,Low,Close,Adj Close,Volume
2015-03-24,44.330002,44.500000,43.709999,43.709999,41.557827,14913400
2015-03-25,43.680000,43.750000,42.930000,42.930000,40.816238,17491000
2015-03-26,42.779999,43.230000,42.459999,42.990002,40.873280,14065600
2015-03-27,42.930000,43.119999,42.419998,42.639999,40.540520,17982800
2015-03-30,43.230000,43.630001,43.119999,43.439999,41.301128,12730100
2015-03-31,43.310001,43.570000,43.130001,43.150002,41.025410,13264200
2015-04-01,42.990002,43.119999,42.720001,42.939999,40.825748,12032700
2015-04-02,42.990002,43.110001,42.480000,42.619999,40.663548,11183900
2015-04-06,42.279999,43.099998,42.209999,42.959999,40.987946,9766500
2015-04-07,42.990002,43.480000,42.939999,42.959999,40.987946,8075400
2015-04-08,42.849998,43.340000,42.849998,43.110001,41.131062,6947100
2015-04-09,42.970001,43.310001,42.740002,43.200001,41.216927,9399500
2015-04-10,43.080002,43.889999,43.080002,43.509998,41.512691,12542800
2015-04-13,43.549999,43.790001,43.029999,43.080002,41.102440,10943400
2015-04-14,43.040001,43.060001,42.509998,42.730000,40.768497,10468100
2015-04-15,42.950001,44.189999,42.830002,43.990002,41.970665,18188700
2015-04-16,43.689999,43.959999,43.250000,43.459999,41.464985,11960800
2015-04-17,43.060001,43.400002,42.860001,43.000000,41.026104,12473500
2015-04-20,43.310001,43.810001,43.250000,43.320000,41.331413,10426300
2015-04-21,43.509998,43.869999,43.400002,43.419998,41.426830,9312900
2015-04-22,43.509998,43.750000,43.340000,43.549999,41.550861,7343900
2015-04-23,43.509998,43.630001,42.990002,43.389999,41.398201,11311000
2015-04-24,43.410000,43.580002,42.750000,43.080002,41.102440,17767100
2015-04-27,43.099998,43.950001,43.070000,43.610001,41.608105,12916000
2015-04-28,43.709999,44.580002,43.450001,44.500000,42.457249,18287700
2015-04-29,44.400002,44.900002,43.680000,44.730000,42.676693,36608700
2015-04-30,44.049999,44.410000,43.509998,43.619999,41.617645,20196300
2015-05-01,43.439999,44.380001,43.439999,44.369999,42.333218,11942000
2015-05-04,44.549999,44.849998,44.240002,44.590000,42.543118,9168200
2015-05-05,44.470001,44.619999,43.889999,43.919998,41.903873,11410200
2015-05-06,44.200001,44.240002,43.000000,43.259998,41.274174,12732100
2015-05-07,43.169998,43.660000,43.020000,43.480000,41.484066,8787100
2015-05-08,43.830002,44.240002,43.689999,44.009998,41.989746,9582900
2015-05-11,43.970001,44.200001,43.599998,43.840000,41.827541,7429400
2015-05-12,43.650002,43.689999,43.279999,43.570000,41.569939,8515100
2015-05-13,43.759998,44.070000,43.619999,43.790001,41.779842,7451200
2015-05-14,44.110001,44.400002,44.000000,44.380001,42.342762,7293000
2015-05-15,44.410000,44.439999,43.939999,44.150002,42.123314,9369500
2015-05-18,43.939999,44.410000,43.880001,44.240002,42.209194,6043100
2015-05-19,44.419998,44.459999,44.160000,44.320000,42.285511,8640000
2015-05-20,44.220001,44.599998,44.090000,44.290001,42.256889,9055700
2015-05-21,44.220001,44.450001,43.950001,44.279999,42.247349,8036400
2015-05-22,44.200001,44.270000,43.880001,43.930000,41.913410,7484300
2015-05-26,43.740002,43.830002,43.150002,43.330002,41.340950,10440400
2015-05-27,43.540001,44.250000,43.410000,44.139999,42.113770,11096800
2015-05-28,44.080002,44.250000,43.639999,43.860001,41.846626,7273200
2015-05-29,43.790001,43.840000,43.360001,43.490002,41.493614,10235300
2015-06-01,43.840000,44.060001,43.639999,43.790001,41.779842,9764300
2015-06-02,43.509998,44.009998,43.139999,43.700001,41.693977,8222300
2015-06-03,43.740002,44.090000,43.590000,43.970001,41.951580,9220900
2015-06-04,43.740002,44.110001,43.509998,43.770000,41.760761,13783100
2015-06-05,43.830002,44.020000,43.490002,43.810001,41.798920,12850700
2015-06-08,43.810001,43.889999,43.080002,43.099998,41.121513,9109500
2015-06-09,43.349998,43.369999,42.820000,43.070000,41.092888,7634200
2015-06-10,43.279999,44.049999,43.060001,43.939999,41.922951,15518400
2015-06-11,44.169998,44.419998,44.029999,44.279999,42.247349,12519300
2015-06-12,43.980000,44.389999,43.900002,44.340000,42.304592,11742300
2015-06-15,43.900002,43.990002,43.410000,43.720001,41.713058,16727800
2015-06-16,43.910000,44.880001,43.759998,44.639999,42.590816,18271600
2015-06-17,44.860001,45.240002,44.369999,44.910000,42.848427,27080800
2015-06-18,41.910000,42.980000,40.970001,42.740002,40.778038,79138400
2015-06-19,42.900002,43.099998,41.560001,41.590000,39.680832,37430200
2015-06-22,41.799999,41.959999,41.450001,41.490002,39.585426,22368300
2015-06-23,41.939999,42.060001,41.480000,41.709999,39.795315,17394300
2015-06-24,41.540001,41.770000,41.200001,41.200001,39.308723,17768200
