Date,DJIA,S&P500,NASDAQ,DAX,FTSE100,HSI,KOSPI,NIFTY50
1999-06-17,10841.629883,1339.900024,2544.149902,5415.509765999999,6493.600098,13408.269531,832.26001,
1999-06-18,10855.55957,1342.839966,2563.439941,5337.189941,6527.799805,,837.72998,
1999-06-21,10815.980469,1349.0,2630.280029,5468.470215,6581.299805,13994.230469,869.0,
1999-06-22,10721.629883,1335.880005,2580.26001,5468.669922,6552.399902,14004.879883000001,875.9699710000001,
1999-06-23,10666.860352,1333.060059,2598.1201170000004,5399.109863000001,6496.5,13976.040038999998,888.6300050000001,
1999-06-24,10534.830078,1315.780029,2553.98999,5327.600098,6416.700195,13780.120116999999,877.2999880000001,
1999-06-25,10552.55957,1315.310059,2552.649902,5301.209961,6435.399902,13784.509766,882.080017,
1999-06-28,10655.150391,1331.349976,2602.439941,5356.950195,6405.799805,13840.290038999998,903.0499880000001,
1999-06-29,10815.349609,1351.449951,2642.110107,5359.529785,6307.100098,13765.490234,897.4500119999999,
1999-06-30,10970.799805,1372.709961,2686.1201170000004,5378.52002,6318.5,13532.139647999998,883.0,
1999-07-01,11066.419922,1380.959961,2706.179932,5480.220215,6488.899902,,919.9799800000001,
1999-07-02,11139.240234,1391.219971,2741.02002,5519.049805,6491.899902,14184.580078,933.419983,
1999-07-06,11135.120117,1388.119995,2736.780029,5612.899902,6620.600098,14372.610352000002,989.429993,
1999-07-07,11187.360352,1395.859985,2743.040039,5588.5,6597.399902,14257.44043,1005.9799800000001,
1999-07-08,11126.889648,1394.420044,2771.860107,5607.100098,6557.299805,14226.299805,999.1099849999999,
1999-07-09,11193.700195,1403.280029,2793.070068,5638.950195,6562.600098,14222.570313,1027.930054,
1999-07-12,11200.980469,1399.099976,2790.439941,5652.02002,6545.5,14061.839844,1004.25,
1999-07-13,11175.019531,1393.560059,2778.22998,5573.819824,6445.600098,13980.929688,987.5,
1999-07-14,11148.099609,1398.170044,2818.1298829999996,5610.890136999999,6473.100098,13575.570313,953.669983,
1999-07-15,11186.410156,1409.619995,2839.3701170000004,5619.259765999999,6575.0,13758.889647999998,982.1400150000001,
1999-07-16,11209.839844,1418.780029,2864.47998,5619.939941,6563.299805,13545.240234,1020.820007,
1999-07-19,11187.679688,1407.650024,2830.290039,5624.740234000001,6483.700195,13447.129883000001,1024.579956,
1999-07-20,10996.129883,1377.099976,2732.179932,5491.290039,6392.0,13600.400391,998.4500119999999,
1999-07-21,11002.780273,1379.290039,2761.77002,5414.169922,6329.799805,13419.660156,965.1099849999999,
1999-07-22,10969.219727,1360.969971,2684.439941,5340.910156,6297.799805,13369.05957,976.659973,
1999-07-23,10910.959961,1356.939941,2692.399902,5310.629883,6207.399902,13093.700195,904.9600220000001,
1999-07-26,10863.160156,1347.76001,2619.189941,5206.439941,6169.100098,12866.519531,872.9400019999999,
1999-07-27,10979.040039,1362.839966,2679.330078,5224.160156,6262.799805,13075.089844,928.849976,
