Date,S&P500,DJIA,DAX,FTSE100,HSI,KOSPI,NIFTY50
1993-05-24,448.0,3507.780029,1608.579956,2825.600098,7271.899901999999,,
1993-05-25,448.85000599999995,3516.6298829999996,1623.050049,2837.699951,7368.200195,,
1993-05-26,453.44000199999994,3540.1599119999996,1617.180054,2846.899902,7349.700195,,
1993-05-27,452.410004,3554.830078,1633.180054,2855.300049,7447.200195,,
1993-05-28,450.19000199999994,3527.429932,1627.209961,2840.699951,7397.899901999999,,
1993-06-01,453.829987,3552.3400880000004,1625.589966,2849.199951,7375.799805,,
1993-06-02,453.85000599999995,3553.4499509999996,1628.530029,2863.0,7322.200195,,
1993-06-03,452.48999000000003,3544.8701170000004,1630.560059,2852.800049,7155.100098000001,,
1993-06-04,450.05999800000006,3545.139893,1638.469971,2829.899902,7157.5,,
1993-06-07,447.69000199999994,3532.1298829999996,1660.880005,2844.800049,7124.700195,,
1993-06-08,444.709991,3510.540039,1662.280029,2844.399902,7259.700195,,
1993-06-09,445.77999900000003,3511.929932,1679.689941,2866.899902,7339.100098000001,,
1993-06-10,445.380005,3491.719971,,2860.0,7260.600098000001,,
1993-06-11,447.26000999999997,3505.01001,1685.8499760000002,2861.800049,7266.700195,,
1993-06-14,447.709991,3514.6899409999996,1686.439941,2885.5,,,
1993-06-15,446.26998899999995,3492.0,1684.569946,2870.0,7283.5,,
1993-06-16,447.42999299999997,3511.649902,1689.930054,2883.0,7304.799805,,
1993-06-17,448.540009,3521.889893,1681.469971,2875.699951,7189.100098000001,,
1993-06-18,443.67999299999997,3494.7700200000004,1687.140015,2879.399902,7200.799805,,
1993-06-21,446.22000099999997,3510.820068,1697.2600100000002,2903.399902,7003.600098000001,,
1993-06-22,445.92999299999997,3497.530029,1698.3299559999998,2907.600098,7046.700195,,
1993-06-23,443.19000199999994,3466.8100590000004,1690.959961,2900.699951,7062.600098000001,,
1993-06-24,446.619995,3490.610107,1692.160034,2894.699951,,,
1993-06-25,447.60000599999995,3490.889893,1699.52002,2887.5,7014.100098000001,,
1993-06-28,451.85000599999995,3530.1999509999996,1712.3299559999998,2897.0,7148.100098000001,,
1993-06-29,450.69000199999994,3518.850098,1703.050049,2886.0,7107.5,,
1993-06-30,450.52999900000003,3516.080078,1700.930054,2900.0,7099.299805,,
1993-07-01,449.01998899999995,3510.540039,1698.359985,2888.800049,7205.399901999999,,
1993-07-02,445.839996,3483.969971,1697.390015,2857.699951,7217.899901999999,,
1993-07-06,441.42999299999997,3449.929932,1705.660034,2848.100098,7168.299805,,
1993-07-07,442.829987,3475.669922,1739.47998,2848.300049,7141.100098000001,,
1993-07-08,448.64001500000006,3514.419922,1798.630005,2845.899902,7122.399901999999,,
1993-07-09,448.10998499999994,3521.0600590000004,1798.359985,2843.199951,7070.600098000001,,
1993-07-12,448.98001100000005,3524.3798829999996,1808.7399899999998,2830.899902,6952.600098000001,,
1993-07-13,448.089996,3515.4399409999996,1806.52002,2837.100098,6956.100098000001,,
1993-07-14,450.079987,3542.5500490000004,1815.630005,2832.300049,6955.5,,
