CODE,INDEX,EXCHANGE,COUNTRY
^DJI,DJIA,NASDAQ,USA
^GSPC,S&P500,NASDAQ,USA
^IXIC,NASDAQ,NASDAQ,USA
^GDAXI,DAX,Frankfurt Stock Exchange,GERMANY
^FTSE,FTSE100,LSE,UK
^HSI,HSI,HONG KONG EXCHANGE,HONK KONG
^KS11,KOSPI,KOREA EXCHANGE,KOREA
^NSEI,NIFTY50,National Stock Exchange of India,INDIA
