DATE,PRICE
11/30/1987,65203.71601
12/31/1987,58756.86319
1/29/1988,58543.80171
2/29/1988,54725.52604
3/31/1988,56695.20786
4/29/1988,56080.2528
5/31/1988,56984.01272
6/30/1988,58274.85711
7/29/1988,58095.27583
8/31/1988,58358.47561
9/30/1988,53135.74202
10/31/1988,51768.65144
11/30/1988,51497.6275
12/30/1988,51252.95576
1/31/1989,51430.45651
2/28/1989,49082.16438
3/31/1989,50737.67952
4/28/1989,50127.66892
5/31/1989,51480.31333
6/30/1989,53698.52258
7/31/1989,50443.75759
8/31/1989,52020.63695
9/29/1989,51173.84626
10/31/1989,53571.85013
11/30/1989,58335.06222
12/29/1989,57287.20272
1/31/1990,59972.28344
2/28/1990,60672.52259
3/30/1990,57987.09159
4/30/1990,58375.69814
5/31/1990,55420.90231
6/29/1990,53602.28185
7/31/1990,54393.81215
8/31/1990,55780.68257
9/28/1990,56458.8108
10/31/1990,49292.09464
11/30/1990,51243.86806
12/31/1990,52377.16121
1/31/1991,48101.56967
2/28/1991,48220.78419
3/29/1991,50208.24077
4/30/1991,48765.22687
5/31/1991,49902.38629
6/28/1991,50793.19308
7/31/1991,49851.52241
8/30/1991,47532.41472
9/30/1991,47120.95261
10/31/1991,46668.54443
11/29/1991,47629.39358
12/31/1991,44120.18227
1/31/1992,44460.30378
2/28/1992,45619.61761
3/31/1992,45481.27929
4/30/1992,44875.08178
5/29/1992,43087.08076
6/30/1992,43240.64961
7/31/1992,45569.98574
8/31/1992,41899.62927
9/30/1992,41874.12616
10/30/1992,41795.6
11/30/1992,41568.02855
12/31/1992,41557.51921
1/29/1993,41222.92271
2/26/1993,38676.62416
3/31/1993,38817.2517
4/30/1993,39404.32215
5/31/1993,40441.06956
6/30/1993,40416.99168
7/30/1993,42136.41547
8/31/1993,38903.49503
9/30/1993,37736.9707
10/29/1993,40092.82539
11/30/1993,40475.43749
12/31/1993,43721.25708
1/31/1994,41192.97493
2/28/1994,39738.40983
3/31/1994,39990.29498
4/29/1994,38204.01778
5/31/1994,40564.2622
6/30/1994,38298.91698
7/29/1994,38467.19531
8/31/1994,38642.50154
9/30/1994,39078.28446
10/31/1994,37214.24213
11/30/1994,37907.72934
12/30/1994,38236.84829
1/31/1995,37096.34419
2/28/1995,36397.86941
3/31/1995,33868.79163
4/28/1995,32746.79072
5/31/1995,32529.05275
6/30/1995,32860.52015
7/31/1995,33750.11268
8/31/1995,37451.16699
9/29/1995,37881.5918
10/31/1995,39124.0374
11/30/1995,39373.3137
12/29/1995,39920.98453
1/31/1996,43359.35465
2/29/1996,42136.3495
3/29/1996,42330.20185
4/30/1996,40990.60698
5/31/1996,42218.43031
6/28/1996,41899.66907
7/31/1996,41121.11813
8/30/1996,41968.46116
9/30/1996,42211.125
10/31/1996,43164.32629
11/29/1996,42253.91324
12/31/1996,42858.84457
1/31/1997,41943.69789
2/28/1997,43279.41172
3/31/1997,43104.43856
4/30/1997,43168.42016
5/30/1997,40272.75051
6/30/1997,38282.5317
7/31/1997,38639.82066
8/29/1997,39136.3317
9/30/1997,40094.4139
10/31/1997,37452.06283
11/28/1997,37879.07507
12/31/1997,37733.24688
1/30/1998,38654.9577
2/27/1998,37570.52567
3/31/1998,40139.85371
4/30/1998,41052.78132
5/29/1998,40682.65994
6/30/1998,41121.96496
7/31/1998,41704.13885
8/31/1998,38601.32871
9/30/1998,39998.84063
10/30/1998,34061.69588
11/30/1998,36224.51746
12/31/1998,32463.81446
1/29/1999,33186.3003
2/26/1999,34058.45757
3/31/1999,33095.25567
4/30/1999,34209.98872
5/31/1999,32714.11867
6/30/1999,31591.43825
7/30/1999,29333.93279
8/31/1999,27937.54186
9/30/1999,31834.5258
10/29/1999,31214.05633
11/30/1999,29771.58407
12/31/1999,29708.53751
1/31/2000,30325.82707
2/29/2000,32258.90877
3/31/2000,28384.8602
4/28/2000,29726.0068
5/31/2000,29314.51543
6/30/2000,30487.69831
7/31/2000,30326.26128
8/31/2000,29539.27983
9/29/2000,29570.60778
10/31/2000,28880.75161
11/30/2000,29809.53463
12/29/2000,31342.18359
1/31/2001,30757.37943
2/28/2001,31282.57028
3/30/2001,32294.95584
4/30/2001,32508.22013
5/31/2001,31784.34788
6/29/2001,33749.20993
7/31/2001,33206.90784
8/31/2001,32488.36217
9/28/2001,34916.98251
10/31/2001,34120.39341
11/30/2001,33919.55865
12/31/2001,36238.08932
1/31/2002,37764.65465
2/28/2002,39725.93074
3/29/2002,39946.03256
4/30/2002,39572.87185
5/31/2002,40532.67343
6/28/2002,38175.40533
7/31/2002,36484.87063
8/30/2002,37087.10483
9/30/2002,39407.22889
10/31/2002,38823.4053
11/29/2002,39088.38663
12/31/2002,41202.21757
1/31/2003,44077.94529
2/28/2003,41077.2673
3/31/2003,39706.49113
4/30/2003,40160.80315
5/30/2003,43225.23378
6/30/2003,41545.94894
7/31/2003,42763.3381
8/29/2003,43824.98816
9/30/2003,43345.41858
10/31/2003,42462.39281
11/28/2003,43627.27158
12/31/2003,44609.51174
1/30/2004,42313.53384
2/27/2004,43250.55282
3/31/2004,44079.61951
4/30/2004,42872.91584
5/31/2004,43463.95385
6/30/2004,43187.69182
7/30/2004,43623.47086
8/31/2004,44693.64926
9/30/2004,45810.85246
10/29/2004,45189.12831
11/30/2004,46607.24213
12/31/2004,44635.91087
1/31/2005,43673.51248
2/28/2005,45410.89311
3/31/2005,45725.39635
4/29/2005,45711.45745
5/31/2005,44667.34096
6/30/2005,48435.0337
7/29/2005,48088.74898
8/31/2005,48149.23637
9/30/2005,53638.15327
10/31/2005,54797.65318
11/30/2005,59306.98846
12/30/2005,60549.38937
1/31/2006,66580.71146
2/28/2006,64398.6983
3/31/2006,68670.17432
4/28/2006,73544.79803
5/31/2006,73207.82043
6/30/2006,70132.24464
7/31/2006,72380.13596
8/31/2006,73127.19027
9/29/2006,70750.44357
10/31/2006,70732.33051
11/30/2006,74794.08206
12/29/2006,75305.95923
1/31/2007,78684.47444
2/28/2007,78697.72149
3/30/2007,78136.12923
4/30/2007,80904.87798
5/31/2007,80288.24021
6/29/2007,80333.49432
7/31/2007,79237.74897
8/31/2007,77894.87549
9/28/2007,85456.14455
10/31/2007,91017.49834
11/30/2007,86909.72794
12/31/2007,93142.3782
1/31/2008,98164.55343
2/29/2008,101138.0034
3/31/2008,92915.91167
4/30/2008,91028.20522
5/30/2008,93504.1874
6/30/2008,98611.1416
7/31/2008,99222.02216
8/29/2008,90401.31992
9/30/2008,93902.93656
10/31/2008,71869.25581
11/28/2008,77577.04852
12/31/2008,78842.83219
1/30/2009,82580.29276
2/27/2009,93148.42664
3/31/2009,90522.69493
4/30/2009,86898.5464
5/29/2009,93116.3394
6/30/2009,90165.21881
7/31/2009,89388.09755
8/31/2009,88636.95692
9/30/2009,89154.4647
10/30/2009,94140.78857
11/30/2009,101284.9708
12/31/2009,101240.7972
1/29/2010,97771.41618
2/26/2010,98484.62543
3/31/2010,104232.3057
4/30/2010,110861.286
5/31/2010,109924.7485
6/30/2010,110081.5479
7/30/2010,101305.5264
8/31/2010,104626.6025
9/30/2010,109186.7712
10/29/2010,108480.6961
11/30/2010,115895.7798
12/31/2010,113993.0715
1/31/2011,108721.1003
2/28/2011,115603.2197
3/31/2011,119264.3051
4/29/2011,124590.4691
5/31/2011,124825.245
6/30/2011,121584.1717
7/29/2011,125703.8941
8/31/2011,138678.3195
9/30/2011,124869.5783
10/31/2011,134272.9342
11/30/2011,135541.9619
12/30/2011,117795.1204
1/31/2012,132980
2/29/2012,143263.7773
3/30/2012,136815.4345
4/30/2012,131844.0331
5/31/2012,122170.5595
6/29/2012,127544.3043
7/31/2012,126678.1852
8/31/2012,129077.5299
9/28/2012,138172.7783
10/31/2012,137399.6574
11/30/2012,142343.1958
12/31/2012,143315.7314
1/31/2013,151925.0759
